,PassengerId,Name,Age,HomePlanet
201,0220_06,Weney Wilsoney,1.0,Earth
202,0220_07,Guye Wilsoney,15.0,Earth
203,0221_01,Cowhex Blan,21.0,Mars
204,0221_02,Yogark Reke,23.0,Mars
205,0221_03,Jacks Reke,33.0,Mars
206,0221_04,Eerch Reke,21.0,Mars
207,0221_05,Panbug Reke,41.0,Mars
208,0221_06,Gran Reke,16.0,Mars
209,0221_07,Rohs Reke,42.0,Mars
210,0222_01,Gone Perte,20.0,Mars
211,0222_02,Colf Deva,24.0,Mars
212,0222_03,Grake Perte,16.0,Mars
213,0223_01,Evan Sykess,21.0,Earth
214,0224_01,Blues Queen,32.0,Mars
215,0225_01,Carly Hortis,58.0,Earth
216,0229_01,Done Sellahaney,24.0,Earth
217,0231_01,Krus Nate,30.0,Mars
218,0232_01,Nica Bakerrison,27.0,Earth
219,0233_01,Teda Wist,32.0,Mars
220,0234_01,Keitha Josey,43.0,Earth
221,0237_01,Weias Aginge,42.0,Europa
222,0239_01,Diedow Resty,37.0,Mars
223,0240_01,Puffes Crie,35.0,Mars
224,0241_01,Alas Dischod,33.0,Europa
225,0242_01,Almone Sté,18.0,
226,0243_01,Lilace Cartyernan,21.0,Earth
227,0244_01,Froos Sad,43.0,Mars
228,0244_02,Tous Sad,14.0,Mars
229,0245_01,Glueba Repumparte,46.0,Europa
230,0245_02,Anchib Repumparte,33.0,Europa
231,0246_01,Mele Sesa,21.0,Mars
232,0248_01,Genifi Spanxibus,33.0,Europa
233,0250_01,Camily Kramosley,47.0,Earth
234,0251_01,Diphah Amsive,54.0,
235,0252_01,Leenny Byerry,30.0,Earth
236,0253_01,Dawne Cardner,29.0,Earth
237,0254_01,Race Stenson,21.0,Earth
238,0255_01,Ashir Mingious,24.0,Europa
239,0257_01,Errohs Berte,21.0,Mars
240,0257_02,Squars Berte,60.0,Mars
241,0258_01,Feryla Cooperkins,22.0,Earth
242,0260_01,Segino Inderly,26.0,Europa
243,0261_01,Dord Bookerson,26.0,Earth
244,0263_01,Maen Merkins,28.0,Earth
245,0265_01,Etair Herpumble,39.0,Europa
246,0267_01,Lilace Sancockett,13.0,Earth
247,0269_01,Lerome Polliamposs,47.0,Earth
248,0270_01,Cathya Fryersonis,63.0,Earth
249,0275_01,Terf Obnoble,,Europa
250,0277_01,Byront Mcdanield,50.0,Earth
251,0278_01,Judya Beachez,35.0,Earth
252,0278_02,Marice Beachez,45.0,Earth
253,0281_01,Derine Pierry,19.0,Earth
254,0282_01,Valex Baketton,21.0,Earth
255,0283_01,Jacky Santin,29.0,Earth
256,0283_02,Roydo Santin,22.0,Earth
257,0285_01,Krabik Invebodene,14.0,Europa
258,0285_02,Grasath Invebodene,42.0,Europa
259,0286_01,Carita Jimes,57.0,Earth
260,0287_01,Tetra Bootty,39.0,Europa
261,0287_02,Alasym Bootty,28.0,Europa
262,0288_01,Gory Delez,19.0,Earth
263,0289_01,Furuson Objeciane,19.0,Europa
264,0290_01,Skaton Excialing,26.0,Europa
265,0290_02,Algor Excialing,17.0,Europa
266,0290_03,Dhenar Excialing,43.0,Europa
267,0290_04,Atino Excialing,9.0,Europa
268,0291_01,Castab Brakeril,40.0,Europa
269,0294_01,Phonons Roforhauge,50.0,Europa
270,0297_01,Ernice Gardonadox,24.0,Earth
271,0298_01,Ashird Sorbitter,57.0,Europa
272,0301_01,Margia Wriggins,16.0,Earth
273,0302_01,Lesley Shephendry,23.0,Earth
274,0303_01,Oraryn Kirklander,23.0,
275,0304_01,Betena Ausivetpul,28.0,Europa
276,0305_01,Suhelik Geousker,23.0,Europa
277,0306_01,Dony Estevesters,23.0,Earth
278,0307_01,Natald Hickett,18.0,Earth
279,0309_01,Billya Bowerson,18.0,Earth
280,0310_01,Naviton Coudered,67.0,Europa
281,0313_01,Briney Mckinsond,60.0,Earth
282,0313_02,Jona Mckinsond,,Earth
283,0313_03,Jaimer Mckinsond,49.0,Earth
284,0313_04,Hary Mckinsond,0.0,Earth
285,0314_01,Kell Kochroeders,26.0,Earth
286,0315_01,Adriet Valezaley,35.0,
287,0316_01,Hallah Sorbitter,24.0,Europa
288,0316_02,Beneba Sorbitter,20.0,Europa
289,0320_01,Breney Bellarkerd,18.0,Earth
290,0320_02,Garley Bellarkerd,21.0,Earth
291,0321_01,Quites Bache,59.0,
292,0322_01,Annya Blange,13.0,Earth
293,0324_01,Carma Hooperez,43.0,Earth
294,0326_01,Charly Edwartizman,29.0,Earth
295,0327_01,Jasony Ocherman,19.0,Earth
296,0330_01,Bellah Siveduced,2.0,Europa
297,0330_02,,32.0,Europa
298,0330_03,Hekaton Siveduced,33.0,Europa
299,0331_01,Lewise Burchard,25.0,Earth
300,0333_01,Phios Melie,29.0,Mars
301,0334_01,Unfly Mushe,29.0,Mars
302,0336_01,Maura Cookson,44.0,Earth
303,0337_01,Guanch Perle,2.0,Mars
304,0337_02,Weros Perle,19.0,Mars
305,0337_03,,0.0,Mars
306,0338_01,Ireen Guerson,18.0,Earth
307,0340_01,Pentard Poille,38.0,Europa
308,0341_01,Lorian Webstephrey,5.0,Earth
309,0343_01,Meremy Salez,31.0,Earth
310,0345_01,Berios Racke,30.0,Mars
311,0346_01,Lynney Chanan,15.0,Earth
312,0347_01,Cousk Kraie,27.0,Mars
313,0348_01,Stray Mane,22.0,Mars
314,0348_02,Weet Mane,36.0,Mars
315,0350_01,Loresa Burchanez,14.0,Earth
316,0352_01,Hits Strad,23.0,Mars
317,0355_01,Tricky Warrison,18.0,Earth
318,0356_01,Pharmus Gloyanthy,36.0,Europa
319,0357_01,Eduard Mcleaney,41.0,Earth
320,0358_01,Ronna Connon,50.0,Earth
321,0358_02,Dandy Connon,32.0,Earth
322,0359_01,Celine Popez,26.0,Earth
323,0360_01,Elancy Staffersby,15.0,Earth
324,0361_01,Virgie Headardyer,33.0,Earth
325,0365_01,Dandra Jacostaney,,Earth
326,0368_01,Resers Perte,26.0,Mars
327,0368_02,Batech Perte,61.0,Mars
328,0369_01,Veroy Pottonalden,24.0,Earth
329,0370_01,Tine Coffmaney,30.0,Earth
330,0371_01,Chrey Dutte,24.0,Mars
331,0372_01,,24.0,Earth
332,0373_01,Billex Mcneiderson,41.0,Earth
333,0375_01,Luzel Vincenton,20.0,Earth
334,0376_01,Francy Spentley,22.0,Earth
335,0377_01,Wezncha Excialing,63.0,Europa
336,0378_01,Bram Pirejus,18.0,Europa
337,0378_02,Marfak Pirejus,21.0,Europa
338,0378_03,Naslon Pirejus,79.0,Europa
339,0378_04,Muonons Pirejus,56.0,Europa
340,0378_05,Polaton Pirejus,13.0,Europa
341,0378_06,Sollum Pirejus,33.0,Europa
342,0378_07,Achib Pirejus,32.0,Europa
343,0379_01,Brita Moodson,31.0,Earth
344,0380_01,Zinopus Fuelddid,26.0,Europa
345,0381_01,Mesatan Mosteraked,18.0,Europa
346,0381_02,Aston Mosteraked,38.0,Europa
347,0382_01,Blanie Floydendley,23.0,
348,0383_01,Phia Wagnerray,28.0,Earth
349,0383_02,Evane Wagnerray,34.0,Earth
350,0384_01,Cliney Simpsonks,0.0,Earth
351,0384_02,Ellard Simpsonks,14.0,Earth
352,0385_01,Tanley Klinson,23.0,Earth
353,0387_01,Verek Merce,49.0,Earth
354,0388_01,Fanna Sullones,14.0,Earth
355,0389_01,Elanda Savaraldez,18.0,Earth
356,0391_01,Dabik Cowsearney,27.0,Europa
357,0392_01,Ward Carreralend,48.0,Earth
358,0395_01,Meropus Hervel,31.0,Europa
359,0395_02,Hadyon Hervel,61.0,Europa
360,0396_01,Brinez Robins,18.0,Earth
361,0397_01,Graw Mepie,45.0,Mars
362,0398_01,Wales Tité,22.0,Mars
363,0401_01,Luse Pimne,30.0,Mars
364,0401_02,Parney Pimne,30.0,Mars
365,0402_01,Teron Sageng,32.0,
366,0403_01,Push Wate,43.0,Mars
367,0405_01,Denis Flowensley,17.0,Earth
368,0407_01,Dandy Mirez,23.0,Earth
369,0407_02,Luzel Mirez,20.0,Earth
370,0407_03,Dennya Mirez,39.0,Earth
371,0408_01,Cus Ble,35.0,Mars
372,0409_01,Mats Iccle,31.0,Mars
373,0410_01,Tyrona Roachoanand,21.0,Earth
374,0411_01,Benny Rushorney,16.0,Earth
375,0412_01,Baton Quelfly,60.0,Europa
376,0413_01,Elina Steinardson,18.0,Earth
377,0415_01,Iney Pierry,42.0,Earth
378,0417_01,Lesatik Poicaptic,68.0,Europa
379,0417_02,Mirark Unhearfus,22.0,Europa
380,0417_03,Enifik Unhearfus,59.0,Europa
381,0423_01,Syrmark Pumbody,,Europa
382,0425_01,Blesh Fiha,37.0,Mars
383,0425_02,Cowns Fiha,3.0,Mars
384,0425_03,Ree Fiha,31.0,Mars
385,0427_01,Algor Efulows,31.0,Europa
386,0428_01,Chargin Chocaters,29.0,Europa
387,0429_01,Aino Ineysive,20.0,Europa
388,0429_02,Taurak Ineysive,46.0,Europa
389,0430_01,Eliana Jorden,29.0,Earth
390,0431_01,Fronch Melto,43.0,Mars
391,0432_01,Caper Knike,17.0,Mars
392,0433_01,Hekark Mormonized,27.0,Europa
393,0433_02,Naosura Mormonized,47.0,Europa
394,0434_01,Row Pread,45.0,Mars
395,0435_01,Allie Willynnedy,17.0,Earth
396,0436_01,Sallyl Hodes,10.0,Earth
397,0436_02,Lilace Hodes,56.0,Earth
398,0437_01,Lynnee Oneiles,39.0,Earth
399,0437_02,Debora Oneiles,40.0,Earth
400,0438_01,Dyonon Diateous,40.0,Europa
401,0439_01,Izarino Unciate,34.0,Europa
402,0441_01,Loree Hahnstonsen,32.0,Earth
403,0442_01,Elica Armstromez,35.0,Earth
404,0444_01,Camonk Curte,32.0,Mars
405,0444_02,Colal Curte,26.0,
406,0445_01,Loria Marshopper,25.0,Earth
407,0445_02,Rice Marshopper,26.0,
408,0446_01,Hadira Singmage,22.0,Europa
409,0447_01,Ferry Mcclayton,22.0,Earth
410,0448_01,Elara Hoppernardy,24.0,Earth
411,0448_02,,32.0,Earth
412,0449_01,Nathy Moongton,11.0,Earth
413,0452_01,Swafox Ecart,22.0,Mars
414,0453_01,Aldun Taptiritty,19.0,Europa
415,0453_02,Minopus Taptiritty,34.0,Europa
416,0453_03,Wezena Taptiritty,74.0,Europa
417,0454_01,Tabius Geoconne,28.0,Europa
418,0454_02,Etair Fushausive,42.0,Europa
419,0454_03,Hallux Geoconne,43.0,Europa
420,0456_01,Lulah Hinetthews,55.0,Earth
421,0457_01,Leonyl Poperez,19.0,Earth
422,0457_02,Sallyl Poperez,6.0,Earth
423,0457_03,Joela Poperez,7.0,Earth
424,0458_01,Zanin Bedectical,28.0,Europa
425,0459_01,Hardy Nichoan,15.0,Earth
426,0460_01,Shawne Jenningley,24.0,Earth
427,0461_01,Shany Yorkland,31.0,Earth
428,0461_02,Warry Yorkland,22.0,Earth
429,0461_03,Len Yorkland,1.0,Earth
430,0462_01,Ronia Sosanturney,50.0,Earth
431,0463_01,Grats Staf,34.0,Mars
432,0463_02,Flamal Staf,14.0,Mars
433,0465_01,Deandy Chaellerty,19.0,Earth
434,0465_02,Kyley Chaellerty,,Earth
435,0466_01,Aude Beachez,36.0,Earth
436,0468_01,Haryn Wynneyerson,34.0,Earth
437,0470_01,Aptal Binie,25.0,Mars
438,0470_02,Jurs Binie,36.0,
439,0471_01,Astab Fuelisent,16.0,Europa
440,0471_02,Izarino Fuelisent,30.0,Europa
441,0472_01,Stene Solinez,37.0,Earth
442,0474_01,Nicey Chardst,15.0,Earth
443,0475_01,Danie Gilesonston,36.0,Earth
444,0476_01,Coves Chiff,27.0,Mars
445,0476_02,Book Chiff,27.0,Mars
446,0476_03,Beah Chiff,12.0,Mars
447,0477_01,Benny Moongton,22.0,Earth
448,0480_01,Chrisa Mcdanield,27.0,Earth
449,0481_01,Gera Peckerson,13.0,Earth
450,0482_01,Anny Mallerez,27.0,Earth
451,0482_02,Isaacy Mallerez,28.0,Earth
452,0485_01,Furudah Unloweedic,21.0,Europa
453,0487_01,Sadirak Obeaded,39.0,Europa
454,0488_01,Chery Vantonson,28.0,Earth
455,0490_01,Hanne Kirklander,14.0,Earth
456,0498_01,Batomam Preent,27.0,Europa
457,0498_02,Kastrak Preent,46.0,Europa
458,0499_01,Eclass Meake,27.0,Mars
459,0499_02,Yogark Meake,21.0,Mars
460,0500_01,Ots Cakie,21.0,Mars
461,0501_01,Hadirk Spedlybood,42.0,Europa
462,0502_01,Pigars Swell,22.0,Mars
463,0503_01,Gal Fone,10.0,Mars
464,0503_02,Torms Fone,43.0,Mars
465,0503_03,Pios Fone,42.0,Mars
466,0504_01,Thabius Unpasine,18.0,Europa
467,0504_02,Mirfar Unpasine,54.0,Europa
468,0504_03,Sterops Unpasine,24.0,Europa
469,0504_04,Tauria Unpasine,64.0,Europa
470,0504_05,Azharga Unpasine,18.0,Europa
471,0504_06,Alheneb Unpasine,53.0,
472,0506_01,Kad Backe,23.0,Mars
473,0507_01,Kylen Mccarry,39.0,Earth
474,0510_01,Astrark Sinecthex,59.0,Europa
475,0512_01,Sadirak Nateansive,32.0,Europa
476,0512_02,Ankalik Nateansive,55.0,Europa
477,0513_01,Rayley Blandez,21.0,Earth
478,0515_01,Alramix Swinvul,50.0,Europa
479,0516_01,Vindem Eneurordry,55.0,Europa
480,0517_01,Jandy Kimons,,Earth
481,0518_01,Soyos Parta,35.0,
482,0519_01,Ryany Farleyatton,,Earth
483,0520_01,Bel Mcguirez,55.0,Earth
484,0521_01,Hery Hornettoney,23.0,Earth
485,0522_01,Glenry Parklaney,42.0,Earth
486,0523_01,Helley Joyneidez,35.0,Earth
487,0525_01,Wenise Mirezavis,47.0,Earth
488,0527_01,Supce Stité,,Mars
489,0527_02,Llat Stité,34.0,Mars
490,0528_01,Alasmon Stiven,46.0,Europa
491,0529_01,Ericia Sellahaney,26.0,Earth
492,0531_01,Estine Alentonway,1.0,Earth
493,0531_02,Darley Alentonway,,Earth
494,0533_01,Tops Stike,33.0,Mars
495,0534_01,Asellux Parbage,34.0,Europa
496,0534_02,Weia Parbage,49.0,Europa
497,0537_01,Kylen Staffersby,22.0,Earth
498,0538_01,Walla Swanardy,28.0,Earth
499,0539_01,Tard Nalanet,,Europa
500,0539_02,Achyon Nalanet,36.0,Europa
501,0539_03,Alderak Nalanet,30.0,
502,0539_04,Betenif Nalanet,49.0,Europa
503,0539_05,Mardyon Nalanet,38.0,Europa
504,0540_01,Jell Conie,31.0,Mars
505,0540_02,Rantax Conie,17.0,
506,0542_01,Landa Ments,26.0,Earth
507,0545_01,Kaye Sextones,23.0,Earth
508,0546_01,Shawne Stenson,24.0,Earth
509,0547_01,Trick Weavesend,23.0,Earth
510,0548_01,Kariel Webstes,24.0,Earth
511,0549_01,Warets Watte,32.0,Mars
512,0549_02,Guans Watte,43.0,Mars
513,0550_01,Maen Cleminglas,23.0,Earth
514,0551_01,Stene Bradlerson,42.0,Earth
515,0552_01,Minkab Brathful,29.0,Europa
516,0553_01,Tope Valindle,40.0,Europa
517,0553_02,Gluinol Valindle,37.0,Europa
518,0555_01,Alraixa Graciansus,61.0,Europa
519,0555_02,Alhain Graciansus,33.0,Europa
520,0556_01,Jilla Rames,19.0,Earth
521,0559_01,Margia Harmond,21.0,Earth
522,0560_01,Anniey Hortez,4.0,Earth
523,0560_02,Tonyn Hortez,12.0,Earth
524,0560_03,Annah Josey,44.0,
525,0561_01,Jessa Flemaney,22.0,Earth
526,0563_01,Hamsp Petie,33.0,Mars
527,0564_01,Bath Dinsprody,32.0,Europa
528,0564_02,Taura Dinsprody,28.0,Europa
529,0564_03,Aldibi Dinsprody,28.0,Europa
530,0565_01,Cines Ble,31.0,Mars
531,0566_01,Muls Mish,13.0,Mars
532,0567_01,Jeron Munozanson,14.0,Earth
533,0568_01,Enibik Baciffhaut,33.0,Europa
534,0568_02,Pentard Baciffhaut,,Europa
535,0569_01,Tin Merce,23.0,Earth
536,0570_01,Chard Tramsor,36.0,Europa
537,0571_01,Branev Ousious,22.0,Europa
538,0571_02,Alchium Ousious,19.0,Europa
539,0571_03,Bahoton Ousious,42.0,Europa
540,0571_04,Izark Hednigic,30.0,Europa
541,0571_05,Polam Ousious,16.0,Europa
542,0571_06,Hasich Ousious,55.0,Europa
543,0571_07,Isoton Ousious,55.0,Europa
544,0572_01,Lesley Lamberguson,19.0,Earth
545,0573_01,Deandy Dickley,,Earth
546,0575_01,Minoton Bootty,18.0,Europa
547,0576_01,Melice Herry,21.0,Earth
548,0577_01,Gwendy Holson,65.0,Earth
549,0579_01,Greggy Trankliney,55.0,Earth
550,0579_02,Scotty Trankliney,50.0,Earth
551,0580_01,Guye Wagnerray,49.0,Earth
552,0581_01,Chael Woodgezalez,22.0,Earth
553,0582_01,Dicks Chort,33.0,Mars
554,0583_01,Muebix Erle,3.0,Mars
555,0583_02,Beeres Erle,0.0,Mars
556,0583_03,Cricks Erle,33.0,Mars
557,0585_01,Graven Fone,48.0,Mars
558,0585_02,Sugard Fone,5.0,Mars
559,0585_03,Flams Fone,23.0,Mars
560,0586_01,Askeid Oillicaly,53.0,Europa
561,0587_01,Gorn Tecre,18.0,Mars
562,0588_01,Camiet Delazarson,20.0,Earth
563,0589_01,Maya Hardley,23.0,Earth
564,0590_01,Chelsa Burchanez,48.0,Earth
565,0591_01,Loreen Mcclayton,19.0,Earth
566,0593_01,Hon Kra,,Mars
567,0594_01,Joana Flynner,9.0,Earth
568,0594_02,Cores Flynner,24.0,
569,0596_01,Ton Gene,46.0,Mars
570,0597_01,Arllia Roachoanand,23.0,Earth
571,0597_02,Bertle Roachoanand,21.0,Earth
572,0598_01,Gabrin Buckeelez,19.0,Earth
573,0599_01,Losp Crité,0.0,Mars
574,0599_02,Bases Crité,4.0,Mars
575,0599_03,Apple Crité,26.0,Mars
576,0599_04,Honjay Crité,9.0,Mars
577,0600_01,Muonon Ormler,24.0,Europa
578,0602_01,Seats Brine,24.0,Mars
579,0602_02,Oats Brine,25.0,Mars
580,0602_03,Rana Brine,21.0,Mars
581,0603_01,Lyny Scheron,21.0,Earth
582,0607_01,Dyonium Hontichre,37.0,Europa
583,0607_02,Mino Hontichre,44.0,Europa
584,0607_03,Pola Hontichre,43.0,Europa
585,0608_01,Maril Rilley,7.0,Earth
